#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,Asia,"160,740,570","+120,249","1,438,425",+229,"155,083,027","+142,155","4,219,118","10,469",,,,,,Asia,,,,,,
,North America,"104,941,655","+72,954","1,485,737",+64,"98,503,608","+94,462","4,952,310","8,437",,,,,,North America,,,,,,
,South America,"59,371,329","+36,306","1,304,069",+100,"56,198,393","+18,811","1,868,867","10,349",,,,,,South America,,,,,,
,Europe,"202,281,356","+166,662","1,853,352",+186,"194,424,187","+104,609","6,003,817","5,887",,,,,,Europe,,,,,,
,Oceania,"9,633,902","+29,167","13,812",+32,"9,295,050","+24,016","325,040",141,,,,,,Australia/Oceania,,,,,,
,Africa,"12,295,448","+4,126","255,785",+9,"11,477,097","+3,242","562,566","1,038",,,,,,Africa,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,"549,264,981","+429,464","6,351,195",+620,"524,982,068","+387,295","17,931,718","36,321","70,466",814.8,,,,All,,,,,,
1,China,"225,526",+39,"5,226",,"219,714",+76,586,2,157,4,"160,000,000","111,163","1,439,323,776",Asia,"6,382","275,416",9,0.03,,0.4
2,USA,"88,857,737","+53,604","1,040,947",+25,"84,514,489","+83,222","3,302,301","3,082","265,365","3,109","1,048,709,041","3,131,872","334,850,530",North America,4,322,0,160,0.07,"9,862"
3,India,"43,407,046","+15,715","525,020",+21,"42,787,606","+15,208","94,420",698,"30,853",373,"860,258,139","611,455","1,406,902,807",Asia,32,"2,680",2,11,0.01,67
4,Brazil,"32,078,638","+16,679","670,459",+41,"30,566,088",,"842,091","8,318","148,819","3,110","63,776,166","295,870","215,554,871",South America,7,322,3,77,0.2,"3,907"
5,France,"30,660,940","+66,301","149,358",+11,"29,492,289","+20,542","1,019,293",869,"467,679","2,278","271,490,188","4,141,107","65,559,816",Europe,2,439,0,"1,011",0.2,"15,548"
6,Germany,"27,771,911",+800,"140,734",,"26,420,800","+14,700","1,210,377",780,"329,383","1,669","122,332,384","1,450,897","84,315,003",Europe,3,599,1,9,,"14,355"
7,UK,"22,624,362","+15,768","179,983",+28,"22,114,597","+5,540","329,782",146,"329,835","2,624","522,526,476","7,617,787","68,592,949",Europe,3,381,0,230,0.4,"4,808"
